Number of epoch,training-error,validate-error,Team B,Team A,GK B,GK A,Ground,Advertisement,Audience,Goal Bar,Ball,Referee,Coach
0,0.389545,0.255237,0.108902,8.08613e-05,0,0,0.885431,0.49142,0.586746,0,0,0,0
1,0.283229,0.186677,0.273799,0,0,0,0.875476,0.530785,0.658547,0,0,0,0
2,0.206082,0.199208,0.316403,0.000551187,0,0,0.840267,0.506485,0.650288,0,0,0,0
3,0.173469,0.149852,0.26132,0.300497,0,0,0.914157,0.537359,0.668778,0,0,0,0
4,0.17717,0.186039,0.176211,0.333035,0,0,0.868073,0.486212,0.59015,5.26759e-05,0,0,0
5,0.180251,0.19932,0.240223,0.390749,0,0,0.840001,0.468649,0.534392,0.0164819,0,0,0
6,0.172957,0.17805,0.282573,0.337906,0,0,0.891538,0.558868,0.688421,0.0962406,0,0,0
7,0.155889,0.142812,0.323083,0.488642,0,0,0.910116,0.609831,0.780174,0.18001,0,0,0
8,0.14465,0.114153,0.275004,0.485844,0,0,0.882748,0.626271,0.78477,0.0198762,0,0.00444444,0
9,0.140585,0.138373,0.388778,0.4472,0,0,0.793965,0.646427,0.778384,0.014378,0,0.219658,0
10,0.151027,0.12526,0.372669,0.451095,0,0,0.916573,0.646928,0.767291,0.281096,0,0,0
11,0.122276,0.104255,0.476467,0.504594,0.00280432,0,0.912141,0.762855,0.802167,0.289554,0,0.00344755,0
12,0.12071,0.107545,0.427873,0.531479,0.108589,0,0.909244,0.64596,0.803246,0.326185,0,0.0430099,0
13,0.11599,0.0937627,0.477427,0.557579,0.267709,0.00294938,0.906403,0.718148,0.820676,0.286546,0,0.0808133,0
14,0.1118,0.0946474,0.539703,0.539456,0.214083,0.0285133,0.908489,0.677305,0.80163,0.317622,0,0.06842,0
15,0.107689,0.0812227,0.403186,0.602759,0.24737,0.185354,0.907803,0.783534,0.812701,0.136646,0,0.198654,0
16,0.0932378,0.0861058,0.509664,0.638359,0.330003,0.18459,0.922776,0.733964,0.833496,0.375277,0,0.0355257,0
17,0.0930349,0.0747095,0.556492,0.597795,0.182875,0.286645,0.957151,0.832619,0.848143,0.250079,0,0.235545,0
18,0.0811084,0.0798126,0.604544,0.581604,0.340293,0.419076,0.934553,0.775973,0.861998,0.419886,0,0.128755,0
19,0.0812636,0.0752846,0.638196,0.616653,0.39221,0.543824,0.934519,0.880817,0.838224,0.418761,0,0.323101,0
20,0.0880367,0.0865042,0.579359,0.636521,0.494947,0.457033,0.942373,0.747095,0.851256,0.438364,0,0.218524,0
21,0.0837297,0.058436,0.613817,0.652079,0.325114,0.522257,0.95013,0.878305,0.871451,0.470778,0,0.0711405,0
22,0.076198,0.058931,0.659014,0.624088,0.346312,0.537759,0.942693,0.897531,0.867195,0.424404,0,0.356883,0
23,0.0746304,0.0638844,0.655305,0.64391,0.510502,0.465526,0.958934,0.82915,0.846461,0.495302,0,0.259419,0
24,0.0685624,0.0556626,0.651769,0.624934,0.529437,0.493992,0.953572,0.885992,0.860336,0.457258,0,0.439506,0
25,0.0647654,0.0591528,0.72218,0.628681,0.529016,0.497539,0.960749,0.843268,0.87116,0.437082,0,0.302171,0
26,0.0581602,0.0516035,0.720294,0.618538,0.460552,0.512309,0.961748,0.871557,0.871008,0.54298,0,0.140113,0
27,0.0615463,0.0485029,0.745157,0.624733,0.403391,0.521151,0.955131,0.88023,0.862678,0.572727,0,0.211514,0
28,0.0682817,0.043401,0.696169,0.617143,0.575963,0.512982,0.96355,0.898785,0.861385,0.547826,0,0.38243,0
29,0.0738974,0.0606013,0.657818,0.629767,0.545979,0.551249,0.944849,0.874758,0.839743,0.384363,0,0.264872,0
30,0.0922453,0.0617984,0.625543,0.577644,0.411979,0.543989,0.944532,0.871375,0.845972,0.485038,0.0121734,0.268188,0
31,0.0811283,0.0648788,0.591596,0.615445,0.442663,0.527749,0.956758,0.85512,0.878618,0.339102,0,0.148651,0
32,0.0801622,0.064152,0.657599,0.610077,0.307582,0.499331,0.92197,0.844681,0.868234,0.525447,0.0176471,0.394528,0
33,0.0800553,0.0554141,0.551454,0.569616,0.373995,0.389316,0.951332,0.871072,0.851426,0.477001,0,0.272876,0
34,0.0776592,0.0609487,0.686516,0.625067,0.549699,0.516323,0.947275,0.877923,0.845259,0.593655,0,0.314386,0
35,0.0679058,0.0657356,0.659712,0.589127,0.423817,0.549643,0.957633,0.864166,0.857449,0.520446,0,0.318112,0
36,0.0706069,0.0636985,0.682701,0.605632,0.248336,0.5999,0.961063,0.853194,0.879236,0.474868,0,0.203676,0
37,0.0591653,0.0437277,0.741267,0.650596,0.604897,0.532319,0.963171,0.890858,0.871563,0.575285,0,0.520022,0
38,0.0539981,0.0446986,0.713951,0.639652,0.581384,0.579591,0.956954,0.89681,0.878396,0.59791,0,0.30335,0
39,0.0587878,0.0488,0.749795,0.676808,0.535075,0.520232,0.951204,0.858291,0.876709,0.455447,0,0.421183,0
40,0.0519533,0.0427153,0.72545,0.650746,0.551093,0.490024,0.958192,0.889051,0.859648,0.577882,0.0113095,0.493192,0
41,0.0481867,0.0448459,0.770565,0.663619,0.592079,0.536686,0.964218,0.897313,0.891588,0.62262,0.00119048,0.391951,0
42,0.0545968,0.0478894,0.744553,0.64075,0.587118,0.585012,0.950874,0.916493,0.888009,0.638812,0.0747956,0.309461,0
43,0.0650126,0.0491285,0.661352,0.672552,0.546805,0.543846,0.948685,0.87269,0.891712,0.463333,0,0.566968,0
44,0.0641575,0.0419671,0.731518,0.644717,0.512524,0.342805,0.954297,0.883551,0.848286,0.533923,0,0.467023,0
45,0.0506777,0.0383198,0.747522,0.640983,0.55691,0.539467,0.965027,0.907824,0.880001,0.595885,0.0139535,0.450765,0
46,0.0452821,0.039727,0.723659,0.712328,0.59791,0.60357,0.968034,0.921932,0.903722,0.632515,0.0232143,0.608212,0
47,0.0424607,0.0393873,0.781138,0.698364,0.645411,0.57547,0.9668,0.926646,0.899867,0.639794,0.00416667,0.464993,0
48,0.0420135,0.0396028,0.771946,0.677933,0.568938,0.630846,0.971657,0.923147,0.883456,0.51189,0.0181548,0.305992,0
49,0.0437121,0.0374268,0.755347,0.704329,0.573542,0.57619,0.962056,0.927312,0.88749,0.662768,0.00803571,0.434855,0
