Number of epoch,training-error,validate-error,Team B,Team A,GK B,GK A,Ground,Advertisement,Audience,Goal Bar,Ball,Referee,Coach
0,0.567427,0.371425,0.154269,0.00364275,0,0,0.85602,0.0835127,0.186435,0.103477,0,0,0
1,0.42691,0.247424,0.157596,0.0014355,5.83567e-05,0,0.91033,0.374371,0.654943,0.0456491,0,0,0
2,0.330354,0.164818,0.115723,0.000312174,0.000154991,0,0.861104,0.603593,0.676751,0.0146784,0,0,0
3,0.256016,0.127981,0.334142,0.00113301,0.000162234,0,0.914491,0.680758,0.753005,0.00711769,0,0,0
4,0.229493,0.102393,0.387705,0.0378973,0,0,0.900117,0.740721,0.794561,0.000212493,0,0,0
5,0.205168,0.0924963,0.246727,0.0297702,0,0,0.852205,0.705604,0.776236,0,0,0,0
6,0.163887,0.0799304,0.419677,0.0914521,0,0,0.875379,0.690636,0.806341,0.00104117,0,0,0
7,0.15682,0.0730768,0.501177,0.243264,0,0,0.905342,0.706462,0.815122,0,0,0,0
8,0.152844,0.0658423,0.553131,0.186165,0,0,0.904402,0.827624,0.827565,0,0,0,0
9,0.141662,0.0671878,0.580865,0.440264,0,0,0.932682,0.759331,0.842617,0,0,0,0
10,0.149561,0.0662236,0.636345,0.446195,0,0,0.932911,0.769261,0.853947,0,0,0,0
11,0.131687,0.0661141,0.584616,0.547066,0,0,0.912735,0.698786,0.863119,0,0,0,0
12,0.107604,0.059181,0.663315,0.573744,0,0,0.93922,0.857726,0.90361,5.26759e-05,0,0,0
13,0.107163,0.0557407,0.698694,0.597051,0,0.000800796,0.911919,0.86662,0.894409,0,0,0,0
14,0.100765,0.0540191,0.710708,0.603824,0,0.00424472,0.92045,0.887451,0.88336,0,0,0,0
15,0.0889959,0.0541191,0.690349,0.629099,0,0.0179949,0.934963,0.869313,0.896851,0.00425783,0,0,0
16,0.0812245,0.0506435,0.706456,0.621072,0,0.118218,0.941238,0.846592,0.906662,0.0123053,0,0,0
17,0.0755777,0.0473641,0.749153,0.655224,0,0.190342,0.941602,0.886492,0.909747,0.0410295,0,0,0
18,0.0732185,0.0579464,0.683895,0.608993,0,0.183824,0.946234,0.867085,0.904642,0.0508022,0,0,0
19,0.0760257,0.0460869,0.788343,0.643314,0,0.261842,0.945825,0.881442,0.910203,0.0475755,0,0,0
20,0.0691338,0.0445093,0.755797,0.626711,0,0.338161,0.944156,0.865573,0.90471,0.0597962,0,0,0
21,0.080342,0.0431582,0.730617,0.537362,0,0.251165,0.937027,0.892007,0.886975,0.167651,0,0,0
22,0.0736335,0.0435047,0.774068,0.68439,0,0.234534,0.923433,0.890109,0.913701,0.148563,0,0,0
23,0.0643548,0.0386802,0.776137,0.680443,0,0.226864,0.924513,0.911867,0.91165,0.218999,0,0,0
24,0.0563195,0.0349358,0.784149,0.677037,0,0.319977,0.949885,0.890955,0.911094,0.302059,0,0,0
25,0.0517067,0.0353133,0.779867,0.721109,0,0.323631,0.945052,0.90418,0.920841,0.376404,0,0,0
26,0.0510945,0.0336552,0.792508,0.715054,0,0.317989,0.955167,0.918123,0.921009,0.428485,0,0,0
27,0.0690188,0.0339516,0.803373,0.727931,0,0.406153,0.944657,0.909599,0.918601,0.537742,0,0,0
28,0.0539951,0.0335787,0.772599,0.706845,0,0.406701,0.956072,0.913521,0.915934,0.422573,0,0,0
29,0.0459463,0.0295901,0.803701,0.747473,0.000305064,0.451567,0.949786,0.914711,0.921922,0.480685,0,0.000812401,0
30,0.083952,0.0350118,0.767816,0.662261,0.00103149,0.402034,0.942507,0.879145,0.905495,0.40087,0,0.000591821,0
31,0.0525308,0.0313598,0.787654,0.718026,0.0107759,0.385741,0.941199,0.905185,0.921829,0.486416,0,0.0384848,0
32,0.0467095,0.0293955,0.801175,0.734829,0.0522762,0.454306,0.953249,0.914317,0.923089,0.512724,0,0.0763125,0
33,0.0467262,0.0272455,0.78198,0.754039,0.0389358,0.40834,0.923738,0.913851,0.917112,0.560927,0,0.0707163,0
34,0.0425929,0.0275361,0.814736,0.726868,0.118608,0.433973,0.93625,0.921922,0.923826,0.571719,0,0.100118,0
35,0.037524,0.0245779,0.806529,0.746159,0.187919,0.382633,0.940564,0.925595,0.927309,0.662529,0,0.146881,0
36,0.0491728,0.0264416,0.825883,0.764175,0.248321,0.538361,0.9568,0.919129,0.927571,0.614163,0,0.0779047,0
37,0.0524568,0.0279005,0.811399,0.70611,0.0969806,0.480483,0.951285,0.903335,0.918282,0.453476,0,0.190476,0
38,0.0448971,0.0268295,0.822668,0.746818,0.321099,0.542784,0.961796,0.916405,0.924072,0.582515,0,0.173103,0
39,0.0371372,0.0287169,0.812435,0.74049,0.384607,0.550106,0.954697,0.917997,0.932842,0.58114,0,0.213612,0
40,0.039494,0.022326,0.822532,0.732008,0.269875,0.584902,0.968945,0.924037,0.928478,0.656099,0,0.164196,0
41,0.036466,0.0230966,0.816559,0.720642,0.299632,0.579861,0.953026,0.927392,0.92592,0.692863,0,0.224601,0
42,0.0332433,0.0223531,0.81461,0.709943,0.348219,0.557109,0.960625,0.925345,0.932172,0.663867,0,0.266034,0
43,0.0339266,0.0217072,0.841339,0.744235,0.491836,0.559075,0.957416,0.928333,0.931046,0.675763,0,0.262758,0
44,0.0323246,0.0215347,0.839492,0.781072,0.485595,0.538121,0.96156,0.929019,0.931295,0.640804,0,0.315552,0
45,0.0310095,0.0216239,0.833828,0.734127,0.45207,0.555404,0.953643,0.936374,0.927623,0.681581,0,0.263448,0
46,0.030591,0.0241668,0.828874,0.773277,0.497992,0.488183,0.952904,0.926578,0.935335,0.55757,0,0.300779,0
47,0.0454114,0.0204223,0.842906,0.740457,0.495577,0.597146,0.963068,0.931077,0.927607,0.706099,0,0.342847,0
48,0.03513,0.0260293,0.822215,0.768113,0.475286,0.483501,0.955102,0.929079,0.927108,0.637671,0,0.369203,0
49,0.0339445,0.0226326,0.840103,0.791569,0.539616,0.571631,0.964715,0.920969,0.931841,0.641977,0,0.386233,0
