Number of epoch,training-error,validate-error,Team B,Team A,GK B,GK A,Ground,Advertisement,Audience,Goal Bar,Ball,Referee,Coach
0,0.412645,0.225241,0.295341,0.4192,0.00881938,0.244302,0.911026,0.557712,0.752528,0.117197,0.0047234,0.0114532,0
1,0.21949,0.173941,0.340958,0.504324,0.000103821,0.158742,0.91167,0.677646,0.77046,0.30911,0,0.0104592,0
2,0.181415,0.139933,0.546474,0.503139,5.83703e-05,0.241521,0.909336,0.751091,0.767373,0.347449,0,0,0
3,0.132858,0.0983492,0.565768,0.613869,0.000446842,0.405178,0.946766,0.838848,0.867863,0.438247,0,0.00101215,0
4,0.107619,0.0949297,0.618878,0.632341,0.00874855,0.366176,0.929737,0.792003,0.841141,0.447932,0,0.0010101,0
5,0.106897,0.0683691,0.63966,0.64807,0.0668849,0.344219,0.946915,0.834938,0.89794,0.525791,0,0.0112149,0
6,0.0782394,0.0657351,0.719066,0.666102,0.200455,0.386985,0.937536,0.864001,0.860496,0.468218,0,0.14576,0
7,0.0801447,0.0674878,0.764551,0.697022,0.189498,0.455151,0.934584,0.869953,0.893798,0.601661,0,0.17598,0
8,0.0778611,0.0624246,0.716404,0.691509,0.268564,0.494362,0.948857,0.889734,0.902859,0.530915,0,0.168347,0
9,0.0830577,0.0505858,0.777477,0.568762,0.149205,0.525088,0.960662,0.892124,0.889092,0.497961,0,0.192584,0
10,0.0682957,0.0477467,0.753971,0.683777,0.345005,0.321236,0.94186,0.856303,0.892882,0.598876,0,0.211795,0
11,0.0595684,0.0489549,0.81549,0.707928,0.277328,0.567896,0.962459,0.904092,0.897488,0.62893,0,0.233078,0
12,0.0570316,0.0393416,0.80237,0.692308,0.461944,0.578721,0.944226,0.915983,0.915777,0.588096,0,0.22406,0
13,0.0438826,0.0388432,0.817222,0.732556,0.521554,0.622184,0.95107,0.917256,0.921366,0.57996,0,0.372444,0
14,0.0513647,0.0366115,0.831912,0.728084,0.553242,0.59151,0.962235,0.933431,0.92683,0.589091,0,0.383963,0
15,0.0608705,0.0351398,0.837009,0.751969,0.577757,0.586369,0.945009,0.926771,0.90694,0.65575,0,0.459749,0
16,0.0538157,0.0432992,0.825422,0.660935,0.389704,0.590212,0.939652,0.925767,0.906143,0.570811,0,0.412888,0
17,0.0480793,0.0343347,0.813407,0.774431,0.507081,0.586517,0.963266,0.916066,0.925052,0.685184,0,0.480596,0
18,0.0390674,0.0303589,0.844409,0.768758,0.559189,0.633401,0.962005,0.940618,0.925812,0.589142,0.00142045,0.596448,0
19,0.0328716,0.0324563,0.859029,0.774144,0.605618,0.658159,0.957459,0.918845,0.936193,0.684766,0.00208333,0.593784,0
20,0.0346393,0.0308891,0.863491,0.769991,0.647641,0.686344,0.965608,0.940552,0.939013,0.592151,0.0148674,0.594264,0
21,0.030879,0.0321489,0.865565,0.79163,0.640448,0.710424,0.960251,0.938578,0.93303,0.715528,0.0714972,0.626442,0
22,0.0303963,0.0286865,0.862227,0.816339,0.666306,0.674291,0.96456,0.942171,0.938482,0.636473,0.0740049,0.643185,0
23,0.0294807,0.0269692,0.862916,0.823875,0.674937,0.6803,0.971576,0.946668,0.936138,0.726105,0.230398,0.669519,0
24,0.0275885,0.0225254,0.863216,0.772721,0.658458,0.708293,0.969209,0.946409,0.928615,0.70348,0.238243,0.681836,0
25,0.0357296,0.0315784,0.853259,0.805749,0.519736,0.697149,0.969756,0.929353,0.928065,0.564289,0.225005,0.672764,0
26,0.034549,0.0275099,0.835353,0.734415,0.634364,0.689308,0.95218,0.941754,0.897665,0.634378,0.221447,0.678608,0
27,0.0283484,0.0324585,0.872058,0.818529,0.694975,0.705595,0.968647,0.928562,0.932141,0.703187,0.185073,0.646988,0
28,0.0268645,0.0252187,0.878374,0.830151,0.720507,0.705282,0.971609,0.937996,0.936797,0.681836,0.372593,0.764381,0
29,0.0214735,0.0228415,0.878161,0.841472,0.750854,0.723657,0.973078,0.946321,0.940879,0.736047,0.382702,0.767454,0
30,0.0200103,0.0240965,0.875478,0.847543,0.714641,0.743484,0.971309,0.945984,0.93876,0.746185,0.518889,0.757977,0
31,0.0210167,0.0302814,0.875866,0.832683,0.74409,0.735207,0.962153,0.930364,0.939158,0.615039,0.349488,0.67691,0
32,0.0281373,0.0252535,0.863009,0.787032,0.71823,0.722113,0.965309,0.920659,0.92666,0.736213,0.309815,0.698583,0
33,0.0242757,0.0234468,0.863579,0.788101,0.624966,0.735365,0.97602,0.938161,0.924077,0.717618,0.37285,0.711353,0
34,0.0244437,0.0219067,0.873882,0.848485,0.697786,0.745925,0.97402,0.946415,0.943645,0.748364,0.489038,0.799228,0
35,0.0205853,0.0231271,0.885841,0.842802,0.784663,0.732824,0.972798,0.929011,0.945588,0.761601,0.605116,0.81994,0
36,0.0187663,0.0203732,0.885517,0.871203,0.748537,0.760483,0.976636,0.950307,0.944058,0.701039,0.562031,0.839516,0
37,0.0155416,0.0211002,0.894439,0.867994,0.748288,0.783283,0.975227,0.951242,0.946798,0.734336,0.637719,0.84486,0
38,0.0157078,0.0191943,0.888001,0.851703,0.780428,0.742999,0.973488,0.95528,0.946465,0.745133,0.574387,0.825245,0
39,0.0188338,0.0212003,0.88775,0.851552,0.78497,0.742481,0.975676,0.94838,0.947588,0.755419,0.640468,0.838442,0
40,0.0146431,0.0203394,0.901512,0.864372,0.785272,0.790932,0.97534,0.954641,0.947541,0.748869,0.642255,0.839521,0
41,0.0400882,0.0257002,0.882288,0.867821,0.754356,0.779104,0.974107,0.948905,0.944878,0.75823,0.656619,0.866993,0
42,0.0359102,0.0304688,0.872468,0.843356,0.668413,0.673732,0.963011,0.945164,0.942202,0.675044,0.208862,0.756651,0
43,0.0323653,0.0328647,0.871058,0.828758,0.691807,0.694824,0.956676,0.907957,0.924286,0.613537,0.250396,0.738256,0
44,0.0265801,0.0244288,0.891079,0.843489,0.747839,0.726959,0.96824,0.947985,0.941843,0.630668,0.453408,0.816006,0
45,0.0196831,0.0218812,0.88211,0.836087,0.747493,0.747373,0.973035,0.952099,0.94234,0.713071,0.596128,0.801693,0
46,0.0176056,0.0209361,0.898639,0.870223,0.787398,0.772986,0.974998,0.952276,0.942295,0.729339,0.63652,0.833517,0
47,0.0172811,0.0192692,0.895645,0.859088,0.762465,0.776306,0.97388,0.955772,0.942706,0.757495,0.557336,0.85151,0
48,0.0148015,0.0185318,0.902072,0.873537,0.773401,0.758509,0.974567,0.955539,0.943428,0.75048,0.537367,0.806914,0
49,0.0133808,0.0185711,0.902267,0.87631,0.79526,0.793972,0.973898,0.958794,0.944929,0.76148,0.542447,0.854589,0
