Number of epoch,training-error,validate-error,Team B,Team A,GK B,GK A,Ground,Advertisement,Audience,Goal Bar,Ball,Referee,Coach
18,0.0812076,0.0749131,0.689328,0.620647,0.400885,0.462546,0.906091,0.830337,0.898092,0.403206,0,0.355896,0
19,0.0677593,0.0466261,0.744296,0.664233,0.240857,0.504105,0.932879,0.896581,0.860117,0.419758,0.00356718,0.317553,0
20,0.0637875,0.0304808,0.759256,0.526588,0.516691,0.481985,0.911765,0.905506,0.879204,0.519862,0.0150748,0.435393,0
21,0.061287,0.0308447,0.753804,0.646697,0.386534,0.545305,0.93649,0.919911,0.899641,0.553708,0.0491071,0.483808,0
22,0.0720539,0.0375888,0.756685,0.619795,0.49873,0.54727,0.925864,0.874415,0.897687,0.500386,0.059124,0.526075,0
23,0.0588984,0.0309905,0.766116,0.631489,0.569577,0.509081,0.913568,0.89108,0.906682,0.508897,0.025,0.610767,0
24,0.0504419,0.0258047,0.788696,0.614316,0.493221,0.547056,0.9427,0.925871,0.916235,0.536569,0.0626293,0.620186,0
25,0.0477511,0.028706,0.793946,0.640064,0.534402,0.513652,0.94943,0.926961,0.911184,0.555178,0.069043,0.555303,0
26,0.0527984,0.0309885,0.795169,0.728558,0.524122,0.585161,0.944727,0.920153,0.921165,0.524689,0.021521,0.692566,0
27,0.0426968,0.022995,0.776045,0.707106,0.597801,0.46873,0.947782,0.924112,0.914027,0.566337,0.185419,0.72257,0
28,0.04954,0.0219681,0.800413,0.75847,0.477871,0.564916,0.956097,0.933332,0.914614,0.618709,0.0897728,0.660504,0
29,0.0600272,0.0334585,0.778359,0.648316,0.505677,0.472868,0.93567,0.906741,0.904741,0.595402,0.0715206,0.534624,0
30,0.0485826,0.028225,0.792612,0.679784,0.588508,0.513149,0.949045,0.917004,0.914641,0.49807,0.112808,0.679704,0
31,0.0526487,0.0252098,0.746333,0.713462,0.591819,0.554549,0.949389,0.909512,0.920265,0.54539,0.154232,0.695897,0
32,0.0473184,0.0276175,0.764871,0.722679,0.392651,0.519015,0.940743,0.91973,0.914685,0.499383,0.106212,0.586558,0
33,0.0444072,0.0378596,0.797619,0.683711,0.502306,0.506268,0.946729,0.931056,0.906727,0.54165,0.120945,0.660253,0
34,0.0427988,0.0264568,0.796156,0.735959,0.551011,0.612405,0.949579,0.935054,0.911093,0.566692,0.114031,0.662492,0
35,0.0425338,0.0268433,0.811821,0.771351,0.684422,0.620053,0.951357,0.922291,0.921301,0.579644,0.20696,0.701201,0
36,0.048742,0.0301304,0.809543,0.737591,0.576762,0.54523,0.927514,0.896293,0.927062,0.568217,0.251797,0.751656,0
37,0.0444042,0.0235798,0.817836,0.757439,0.552996,0.525419,0.953225,0.941348,0.927282,0.548272,0.161596,0.683477,0
38,0.0392424,0.0232409,0.813333,0.769325,0.676484,0.514866,0.953031,0.909072,0.926653,0.556426,0.0953493,0.706261,0
39,0.0348438,0.0251869,0.824596,0.808879,0.635008,0.556505,0.94937,0.941088,0.924064,0.552568,0.096833,0.743622,0
40,0.0384681,0.042357,0.815541,0.686794,0.636576,0.580541,0.94953,0.936044,0.918553,0.563709,0.169964,0.742241,0
41,0.0569056,0.0428857,0.741027,0.688419,0.487866,0.582429,0.944493,0.909669,0.89182,0.483336,0.251891,0.547883,0
42,0.0454906,0.0253424,0.786755,0.563162,0.526515,0.539205,0.958919,0.927893,0.896845,0.621062,0.0907342,0.5283,0
43,0.039619,0.0273174,0.806109,0.73477,0.652566,0.555611,0.954944,0.931105,0.927346,0.55771,0.196171,0.539081,0
44,0.0345505,0.0229644,0.825696,0.792317,0.592167,0.638581,0.959644,0.94579,0.928014,0.55874,0.242849,0.685895,0
45,0.0332052,0.0289696,0.808255,0.812157,0.606007,0.662396,0.957347,0.93488,0.924537,0.567311,0.109271,0.654908,0
46,0.032168,0.0208244,0.827259,0.796315,0.627103,0.653558,0.957376,0.941028,0.931736,0.581723,0.274029,0.779028,0
47,0.0292504,0.0205752,0.832812,0.813292,0.727915,0.622802,0.961443,0.940832,0.929533,0.57646,0.212453,0.782442,0
48,0.0279807,0.0168453,0.844767,0.80076,0.620459,0.658667,0.96097,0.943753,0.926001,0.697713,0.293392,0.732303,0
49,0.0285852,0.0184123,0.836858,0.793046,0.648658,0.687564,0.968023,0.952751,0.92425,0.649944,0.413895,0.787074,0
