Number of epoch,training-error,validate-error,Team B,Team A,GK B,GK A,Ground,Advertisement,Audience,Goal Bar,Ball,Referee,Coach
0,0.311196,0.130138,0.360278,0.00509312,0,0.134697,0.864224,0.416867,0.642115,0,0,0,0
1,0.164432,0.0970104,0.458231,0.322195,0.0742749,0.194852,0.867943,0.800136,0.648316,0.198915,0,0,0
2,0.138252,0.0933737,0.582012,0.363688,0.0484213,0.347501,0.900603,0.845908,0.783482,0.212393,0,0.0238162,0
3,0.147327,0.11271,0.526523,0.463595,0.15526,0.144827,0.870178,0.696861,0.678484,0.36737,0,0.0366952,0
4,0.123138,0.0944932,0.677063,0.430352,0.231603,0.322785,0.912268,0.823917,0.714439,0.348199,0,0.0768091,0
5,0.117781,0.0721935,0.680827,0.539507,0.320166,0.284407,0.901166,0.831386,0.812232,0.127902,0,0.263509,0
6,0.117225,0.069058,0.643778,0.522009,0.301646,0.32889,0.864107,0.834557,0.73232,0.400515,0,0.345891,0
7,0.100562,0.0535354,0.640815,0.547669,0.354696,0.321037,0.890257,0.744465,0.82263,0.435742,0,0.209882,0
8,0.0915565,0.0593778,0.70122,0.545364,0.33441,0.382886,0.915173,0.892488,0.867959,0.402833,0,0.263465,0
9,0.0841788,0.0563497,0.687235,0.559487,0.362912,0.329954,0.872186,0.879225,0.836482,0.363772,0.00565476,0.292505,0
10,0.0813023,0.0791234,0.694537,0.617769,0.454114,0.376217,0.892573,0.842433,0.853484,0.385567,0.000297619,0.323893,0
11,0.105262,0.0676741,0.737928,0.598435,0.444886,0.439805,0.927007,0.764604,0.866159,0.407805,0,0.364285,0
12,0.0934891,0.0439801,0.694492,0.481788,0.233552,0.399233,0.906669,0.866335,0.845991,0.454894,0,0.268062,0
13,0.0912251,0.0396608,0.664276,0.581127,0.345506,0.414977,0.909011,0.894403,0.853957,0.498799,0.00803571,0.319066,0
14,0.0673266,0.040723,0.743873,0.642915,0.38185,0.418651,0.922843,0.90652,0.864172,0.485902,0.0105923,0.385123,0
15,0.0642529,0.0350717,0.755493,0.613311,0.571036,0.465116,0.929454,0.895493,0.89416,0.461708,0.00327381,0.371335,0
16,0.0823473,0.0379464,0.690963,0.592187,0.272834,0.310912,0.944925,0.873135,0.873508,0.433365,0.0255282,0.290134,0
17,0.0886472,0.0406613,0.734558,0.587041,0.300831,0.374979,0.933299,0.876047,0.879358,0.497145,0.00178571,0.374768,0
